Date,Version,NumberOfStudents,Better_roll,Worse_roll,Pon.task,Ticks,End_knowledge,Baseline.attention,ID,Knowledge_percent
2021-05-19,125239-18.csv,10,0.9,1.1,0.018476318019306066,5745,5480,0.9439833430762626,122,0.9538729329852045
2021-05-19,125239-18.csv,10,0.9,1.1,0.037169641403357746,5745,4466,0.7747061820373718,123,0.7773716275021758
2021-05-19,125239-18.csv,10,0.9,1.1,0.022382783600213882,5745,4084.5,0.7013451131004812,126,0.7109660574412533
2021-05-19,125239-18.csv,10,0.9,1.1,0.029855783902072136,5745,5155.5,0.8881717131724726,127,0.8973890339425588
2021-05-19,125239-18.csv,10,0.9,1.1,0.01860131506830704,5745,3749.5,0.6532143986542622,128,0.6526544821583986
2021-05-19,125239-18.csv,10,0.9,1.1,0.03781379981515154,5745,4903.5,0.8428007100147344,124,0.8535248041775457
2021-05-19,125239-18.csv,10,0.9,1.1,0.025815201178923882,5745,3820,0.6649580280504567,130,0.6649260226283725
2021-05-19,125239-19.csv,10,0.9,1.1,0.028561487671727538,5745,4511.5,0.7853715636146666,137,0.7852915578764142
2021-05-19,125239-19.csv,10,0.9,1.1,0.018472992039083452,5745,5225,0.9106708184423696,131,0.9094865100087032
2021-05-19,125239-19.csv,10,0.9,1.1,0.020496403327094584,5745,4627,0.7973861676936995,136,0.805395996518712
2021-05-19,125239-19.csv,10,0.9,1.1,0.023556666108178338,5745,5091.5,0.8662990419698015,139,0.886248912097476
2021-05-19,125239-19.csv,10,0.9,1.1,0.022497614739206712,5745,4091,0.7074028824321736,138,0.7120974760661445
2021-05-19,125239-19.csv,10,0.9,1.1,0.010194623256956133,5745,5228.5,0.9069453740889016,135,0.9100957354221062
2021-05-19,125239-19.csv,10,0.9,1.1,0.023993087969893443,5745,4897.5,0.8567864650505546,132,0.8524804177545692
2021-05-19,125239-19.csv,10,0.9,1.1,0.019897812920349364,5745,4113,0.7049955435861288,140,0.7159268929503917
2021-05-19,125239-19.csv,10,0.9,1.1,0.02538547080197803,5745,4893,0.8445210297046278,133,0.8516971279373368
2021-05-19,125239-19.csv,10,0.9,1.1,0.019456010589971102,5745,2603.5,0.4663070739263867,134,0.45317667536988687
2021-05-19,125239-20.csv,10,0.9,1.1,0.015128158810790214,5745,4159,0.7253105051284684,143,0.7239338555265448
2021-05-19,125239-20.csv,10,0.9,1.1,0.03042650316430636,5745,5337.5,0.9194460458676141,146,0.9290687554395126
2021-05-19,125239-20.csv,10,0.9,1.1,0.024006127146223938,5745,4741.5,0.8169660380119352,148,0.8253263707571802
2021-05-19,125239-20.csv,10,0.9,1.1,0.019872284526016554,5745,3555.5,0.631697253238655,150,0.6188859878154918
2021-05-19,125239-20.csv,10,0.9,1.1,0.03664450279010865,5745,5308.5,0.9142139033668037,144,0.9240208877284596
2021-05-19,125239-20.csv,10,0.9,1.1,0.02867034850131932,5745,5190.5,0.9129636730701975,149,0.9034812880765883
2021-05-19,125239-20.csv,10,0.9,1.1,0.015095510431309167,5745,3473.5,0.6109905940809137,142,0.6046127067014796
2021-05-19,125239-20.csv,10,0.9,1.1,0.01764398810299112,5745,4566,0.787095614029818,147,0.7947780678851175
2021-05-19,125239-20.csv,10,0.9,1.1,0.0239190386354896,5745,5158.5,0.8877275849077721,145,0.897911227154047
2021-05-19,125239-20.csv,10,0.9,1.1,0.027009568504329378,5745,4332,0.7484912113794432,141,0.7540469973890339
2021-05-19,125239-21.csv,15,0.9,1.1,0.05696019456870717,5745,3488,0.6297096703773077,157,0.6071366405570061
2021-05-19,125239-21.csv,15,0.9,1.1,0.045929114688404334,5745,3465.5,0.6385420939363236,156,0.6032201914708442
2021-05-19,125239-21.csv,15,0.9,1.1,0.02818175029385278,5745,5362.5,0.9469607262275526,158,0.933420365535248
2021-05-19,125239-21.csv,15,0.9,1.1,0.040183183370151455,5745,3977.5,0.7063301703402097,161,0.6923411662315057
2021-05-19,125239-21.csv,15,0.9,1.1,0.03619154935066506,5745,4270,0.7616347166371757,159,0.7432550043516101
2021-05-19,125239-21.csv,15,0.9,1.1,0.031533900486112376,5745,4812.5,0.8517535443781143,152,0.8376849434290687
2021-05-19,125239-21.csv,15,0.9,1.1,0.039947992634886756,5745,3560,0.643197067067836,151,0.6196692776327241
2021-05-19,125239-21.csv,15,0.9,1.1,0.042968786065858515,5745,4689.5,0.8264877814803469,163,0.8162750217580504
2021-05-19,125239-21.csv,15,0.9,1.1,0.03652370696878152,5745,5290.5,0.9382987301524263,155,0.92088772845953
2021-05-19,125239-21.csv,15,0.9,1.1,0.041319659448046164,5745,4222.5,0.7469525924818198,165,0.7349869451697127
2021-05-19,125239-21.csv,15,0.9,1.1,0.03153075523111865,5745,3833.5,0.7006978308826525,160,0.6672758920800697
2021-05-19,125239-21.csv,15,0.9,1.1,0.06073911156208113,5745,4817,0.8536963823931242,164,0.8384682332463012
2021-05-19,125239-21.csv,15,0.9,1.1,0.04255073732026504,5745,4152.5,0.7361673883535149,154,0.7228024369016536
2021-05-19,125239-21.csv,15,0.9,1.1,0.027401696320545794,5745,4149.5,0.7363865441972408,153,0.7222802436901654
2021-05-19,125239-21.csv,15,0.9,1.1,0.052608644714969545,5745,4041,0.7352016821050569,162,0.7033942558746736
2021-05-19,125239-22.csv,15,0.9,1.1,0.04224947844042305,5745,4609,0.8182819293050085,177,0.8022628372497824
2021-05-19,125239-22.csv,15,0.9,1.1,0.059449534286275925,5745,4914.5,0.873868047090749,176,0.8554395126196693
2021-05-19,125239-22.csv,15,0.9,1.1,0.033037376794645884,5745,4541,0.8058291259539718,180,0.790426457789382
2021-05-19,125239-22.csv,15,0.9,1.1,0.035349333065302815,5745,4184,0.7524585636973368,172,0.7282854656222802
2021-05-19,125239-22.csv,15,0.9,1.1,0.04306877067614661,5745,4556.5,0.7990559574639332,168,0.793124456048738
2021-05-19,125239-22.csv,15,0.9,1.1,0.05258177700753441,5745,4481,0.8014403458776994,166,0.7799825935596171
